LabNumber	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
COV-21-292	Free State	Mangaung MM	49.0	2021-12-07	COV-21-292	Bloemspruit Wastewater Treatment Works	Delta Other	[0.9998589999999999, 0.00014101]
COV-24-0998	Gauteng	Tshwane MM	20.0	2024-05-17	COV-24-0998	Groenkloof	JN.1.X BA.2.86.X KP.3.X KP.1.X XBB.X XBB.1.5.X BA.2.X BA.5.X Recombinants Other	[0.7620176899999996, 0.173179, 0.043021489999999996, 0.021363530000000002, 4.639e-05, 9.1e-07, 3.2e-07, 5.2e-07, 0.00023655, 0.00026911999999999997]
COV-23-0879	Gauteng	Johannesburg MM	39.0	2023-09-27	COV-23-0879	Motsoaledi	XBB.1.5.X XBB.X BA.2.86.X BA.5.X BA.2.X JN.1.X Delta Recombinants Other	[0.31445313, 0.17251258000000003, 0.51252765, 2.6799999999999998e-06, 2.15e-06, 1.2599999999999998e-06, 3.5e-07, 0.0005171399999999999, 1.766e-05]
COV-22-10	Gauteng	Tshwane MM	2.0	2022-01-11	COV-22-10	Rooiwal Wastewater Treatment Works	BA.2.X BA.1.X BA.5.X BA.4.X XBB.X Delta KP.1.X JN.1.X Recombinants Other	[0.7482254000000002, 0.00111965, 0.00029529999999999997, 7.331e-05, 2.8400000000000003e-05, 1.34e-06, 5.3e-07, 3.8e-07, 0.17673584000000003, 0.14706155999999998]
COV-24-0481	Gauteng	Ekurhuleni MM	11.0	2024-03-12	COV-24-0481	Hartebeesfontein Waterworks	BA.2.86.X JN.1.X KP.3.X BA.5.X LB.1.3.X BA.2.X Other	[0.7143349600000002, 0.28543380999999995, 3.261e-05, 3.001e-05, 5.14e-05, 3.802e-05, 7.905e-05]
COV-24-0703	Gauteng	Ekurhuleni MM	15.0	2024-04-11	COV-24-0703	Sasol Garage	BA.2.86.X JN.1.X KP.1.X KP.3.X BA.5.X BA.2.X XBB.X Recombinants Other	[0.51337367, 0.48484684, 0.0016031399999999999, 2.526e-05, 5.6e-07, 2.2e-07, 3.2e-07, 0.00014972000000000002, 3.26e-06]
COV-24-0157	KwaZulu-Natal	Ethekwini MM	5.0	2024-01-29	COV-24-0157	Central Wastewater Treatment Works (KZN)	BA.2.86.X JN.1.X	[0.78824958, 0.21127675]
COV-22-331	Gauteng	Ekurhuleni MM	47.0	2022-11-22	COV-22-331	Hartebeesfontein Waterworks	BA.5.X Delta JN.1.X BA.1.X Recombinants Other	[0.9990255399999995, 2.383e-05, 1.994e-05, 4.72e-06, 0.0004876, 0.00043838999999999993]
COV-22-105	Gauteng	Tshwane MM	13.0	2022-03-29	COV-22-105	Daspoort Wastewater Treatment Works	BA.4.X BA.2.X BA.2.12.X BA.5.X Recombinants Other	[0.82226281, 0.17732897999999994, 6.176e-05, 6.467999999999998e-05, 0.00025468, 2.7060000000000002e-05]
COV-23-0751	Free State	Mangaung MM	35.0	2023-08-29	COV-23-0751	Bloemspruit Wastewater Treatment Works	BA.2.86.X XBB.X XBB.1.5.X BA.2.X Recombinants	[0.86848523, 0.12914768999999998, 0.00093439, 0.0012659, 0.00016678]
