,Other,Recombinants,Delta,BA.1.X,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,XBB.X,XBB.1.5.X,BA.2.86.X,JN.1.X,KP.1.X,KP.3.X,LB.1.3.X,LB.1.3.4.X,XEC.X,LP.8.1.X,XFG.X,NB.1.8.1.X,BA.3.2.X
2022-02-15,0.11996868904761906,0.19795779619047615,0.0001474033333333333,0.06702633619047617,0.6110978314285713,0.003434515714285714,0.00010607571428571428,0.0001993052380952381,4.2790952380952376e-05,7.2409523809523795e-06,6.014285714285713e-07,2.770952380952381e-06,1.3019047619047616e-06,7.3409523809523794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16,0.13988551388888892,0.15087062555555553,0.00017045444444444444,0.04741433888888888,0.6573341027777777,0.0039845194444444445,0.00010674611111111113,0.000185585,3.986277777777778e-05,4.664444444444445e-06,0.0,2.8888888888888887e-08,0.0,3.5577777777777772e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,0.13988551388888892,0.15087062555555553,0.00017045444444444444,0.04741433888888888,0.6573341027777777,0.0039845194444444445,0.00010674611111111113,0.00018558500000000002,3.986277777777778e-05,4.664444444444445e-06,0.0,2.8888888888888887e-08,0.0,3.5577777777777772e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,0.13988551388888892,0.15087062555555553,0.00017045444444444444,0.04741433888888888,0.6573341027777777,0.0039845194444444445,0.00010674611111111113,0.00018558500000000002,3.986277777777778e-05,4.664444444444445e-06,0.0,2.8888888888888887e-08,0.0,3.5577777777777772e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,0.13988551388888892,0.15087062555555553,0.00017045444444444444,0.04741433888888888,0.6573341027777777,0.0039845194444444445,0.00010674611111111113,0.00018558500000000002,3.986277777777778e-05,4.664444444444445e-06,0.0,2.8888888888888887e-08,0.0,3.5577777777777772e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,0.13988551388888892,0.15087062555555553,0.00017045444444444444,0.04741433888888888,0.6573341027777777,0.0039845194444444445,0.00010674611111111113,0.00018558500000000002,3.986277777777778e-05,4.664444444444445e-06,0.0,2.8888888888888887e-08,0.0,3.5577777777777772e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,0.13988551388888892,0.15087062555555553,0.00017045444444444444,0.04741433888888888,0.6573341027777777,0.0039845194444444445,0.00010674611111111113,0.00018558500000000002,3.986277777777778e-05,4.664444444444445e-06,0.0,2.8888888888888887e-08,0.0,3.5577777777777772e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-22,0.08474544555555558,0.15049689666666663,0.0001680444444444444,0.04740673555555554,0.703837817222222,0.003984519444444444,0.009137022777777776,0.00017691055555555554,3.655722222222222e-05,6.463888888888887e-06,0.0,2.8888888888888884e-08,0.0,3.5577777777777764e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-23,0.024286151875000054,0.114966626875,0.00019626187499999998,0.005181781250000001,0.8062925575,0.0044809475,0.04434134875,0.00020269062500000002,4.0429375e-05,7.2199999999999995e-06,0.0,0.0,0.0,3.9843749999999994e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-24,0.024286151875000054,0.114966626875,0.00019626187499999998,0.005181781250000001,0.8062925575,0.0044809475,0.04434134875,0.00020269062500000002,4.0429375e-05,7.2199999999999995e-06,0.0,0.0,0.0,3.9843749999999994e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,0.024286151875000054,0.114966626875,0.00019626187499999998,0.005181781250000001,0.8062925575,0.0044809475,0.04434134875,0.00020269062500000002,4.0429375e-05,7.2199999999999995e-06,0.0,0.0,0.0,3.9843749999999994e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-26,0.024286151875000054,0.114966626875,0.00019626187499999998,0.005181781250000001,0.8062925575,0.0044809475,0.04434134875,0.00020269062500000002,4.0429375e-05,7.2199999999999995e-06,0.0,0.0,0.0,3.9843749999999994e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
